"lot_name","customer","lot_description","quantity","price","procurement_method","status","url_to_details","lot_number","start_date","end_date","customer_bin","customer_name","ktru_code","ktru_name","brief_characteristics","additional_characteristics","funding_source","unit_price","unit_measurement","year1_amount","year2_amount","year3_amount","planned_amount","advance_payment_percentage","delivery_location_kato","kato","tru_delivery_period","incoterms","lot_url","sended_to"
"10406091-1 изготовление стенда размер 300*90 см с 3 Д буквами","РГУ ""Войсковая часть 36352"" МОРК","Услуги полиграфические по изготовлению/печатанию полиграфической продукции (кроме книг, фото, периодических изданий)","1","320000.00","Запрос ценовых предложений","Опубликован (прием ценовых предложений)","https://goszakup.gov.kz/ru/announce/index/10406091?tab=lots#","62334492-ЗЦП1","2023-07-24 15:25:17","2023-07-31 15:25:22","110240010313","Республиканское государственное учреждение ""Войсковая часть 36352"" Министерства обороны Республики Казахстан","181219.900.000005","Услуги полиграфические по изготовлению/печатанию полиграфической продукции (кроме книг, фото, периодических изданий)","Услуги полиграфические по изготовлению/печатанию полиграфической продукции (кроме книг, фото, периодических изданий)","Услуги полиграфические по изготовлению/печатанию полиграфической продукции","За счет бюджетных средств, за исключением средств софинансирования по правительственным внешним займам или связанным грантам","320000","Одна услуга","320 000.00","","","320000","0","353263300, Карагандинская область, Абайский район, с.Спасск КАЗАХСТАН, Карагандинская область, Абайский район, с.Спасск, Количество, объем: 1","353263300","август 2023год","","https://goszakup.gov.kz/ru/announce/index/10406091?tab=lots#",""
"10406029-1 Приобретение гигрометров для нужд ВС РК на 2023 год","Республиканское государственное учреждение ""Войсковая часть 47558"" Министерства обороны Республики Казахстан","Гигрометр","300","1741074.00","Запрос ценовых предложений","Опубликован","https://goszakup.gov.kz/ru/announce/index/10406029?tab=lots#","56013993-ЗЦП2","2023-07-24 17:00:00","2023-07-31 17:00:00","040340012010","Республиканское государственное учреждение ""Войсковая часть 47558"" Министерства обороны Республики Казахстан","265151.700.000067","Гигрометр","психрометрический","Прибор измерения влажности","За счет бюджетных средств, за исключением средств софинансирования по правительственным внешним займам или связанным грантам","5803.58","Штука","1 741 074.00","","","1741074","0","191010000, Алматинская область, г.Қонаев тел. 8-7273-91-63-16 (БИН 011040008514)Количество, объем: 300","191010000","30 календарных дней с момента вступления договора в силу","DDP, термин употребляется с указанием места прибытия. Он означает, что ответственность продавца заканчивается после того, как товар доставлен в указанное место в стране покупателя. Все риски, все расходы по доставке груза (налоги, пошлины","https://goszakup.gov.kz/ru/announce/index/10406029?tab=lots#",""
"10406163-1 Работы по обеспечению безопасности и мониторинга устройствами предупреждения, сигнализации и аналогичными системами обеспечения безопасности (тревожная кнопка)","Государственного коммунального казенного предприятия ""Ясли-сад №20 ""Қазына"" управления образования города Шымкент""","Работы по установке/монтажу систем безопасности","1","690625.00","Запрос ценовых предложений","Опубликован","https://goszakup.gov.kz/ru/announce/index/10406163?tab=lots#","62328204-ЗЦП1","2023-07-24 15:30:00","2023-07-31 15:30:00","101240017381","Государственного коммунального казенного предприятия ""Ясли-сад №20 ""Қазына"" управления образования города Шымкент""","802010.000.000001","Работы по установке/монтажу систем безопасности","Работы по установке/монтажу систем безопасности и аналогичных систем","Работы по обеспечению безопасности и мониторинга устройствами предупреждения, сигнализации и аналогичными системами обеспечения безопасности (тревожная кнопка)","","690625","Работа","690 625.00","","","690625","0","791510000, г.Шымкент, Енбекшинский район мкр 18, дом 1 аКоличество, объем: 1","791510000","июль-декабрь","","https://goszakup.gov.kz/ru/announce/index/10406163?tab=lots#",""
"10406107-1 Приобретение посуды (тарелки)","КГКП «Детский сад-ясли №11 «Айгөлек» отдела образования по городу Усть-Каменогорску управления образования Восточно-Казахстанской области","Тарелка","50","32500.00","Запрос ценовых предложений","Опубликован","https://goszakup.gov.kz/ru/announce/index/10406107?tab=lots#","62329267-ЗЦП1","2023-07-25 09:04:08","2023-08-01 09:05:21","140140027825","Коммунальное государственное казенное предприятие «Детский сад-ясли №11 «Айгөлек» отдела образования по городу Усть-Каменогорску управления образования Восточно-Казахстанской области","234112.300.000036","Тарелка","из керамики, крупная, диаметр 150-250 мм","Тарелка для вторых блюд, диаметр 17 см, глубина 1 см","","650","Штука","32 500.00","","","32500","0","631010000, Восточно-Казахстанская область, г.Усть-Каменогорск ул. Протозанова 133Количество, объем: 50","631010000","в течение 15 дней с момента подписания договора","DDP, термин употребляется с указанием места прибытия. Он означает, что ответственность продавца заканчивается после того, как товар доставлен в указанное место в стране покупателя. Все риски, все расходы по доставке груза (налоги, пошлины","https://goszakup.gov.kz/ru/announce/index/10406107?tab=lots#",""
"10406063-1 Услуги по техническому контролю (осмотру) дорожных транспортных средств(Шымкент)","Республиканское государственное казенное предприятие ""Производственное объединение ""Охотзоопром"" Комитета лесного хозяйства и животного мира Министерства экологии и природных ресурсов Республики Казахстан""","Услуги по техническому контролю (осмотру) дорожных транспортных средств (Шымкент)","2","101785.71","Запрос ценовых предложений","Опубликован","https://goszakup.gov.kz/ru/announce/index/10406063?tab=lots#","62316822","2023-07-24 15:38:34","2023-07-31 15:38:38","930340000221","Республиканское государственное казенное предприятие ""Производственное объединение ""Охотзоопром"" Комитета лесного хозяйства и животного мира Министерства экологии и природных ресурсов Республики Казахстан""","712014.000.000000","Услуги по техническому контролю (осмотру) дорожных транспортных средств","Услуги по техническому контролю (осмотру) дорожных транспортных средств","Шымкент легковые","","75000","Одна услуга","75 000.00","","","75000","0","751910000, г.Алматы, Турксибский район ул. В.Бартольда, 157ВКоличество, объем: 1","751910000","В соответствии со сроками указанными в технической спецификации","","https://goszakup.gov.kz/ru/announce/index/10406063?tab=lots#",""
"10406033-1 Рукав напорный, резиновый.","Государственное коммунальное предприятие на праве хозяйственного ведения ""Астана су арнасы"" акимата города Нур-Султан","Рукав","100","177678.00","Из одного источника по несостоявшимся закупкам","Опубликован (прием заявок)","https://goszakup.gov.kz/ru/announce/index/10406033?tab=lots#","55516323-ОИ2","2023-07-24 15:18:08","2023-07-29 18:00:00","000940002622","Государственное коммунальное предприятие на праве хозяйственного ведения ""Астана су арнасы"" акимата города Нур-Султан","139616.900.000004","Рукав","напорный, резиновый, класса В","шланг Д=32 мм","","1776.78","Метр","177 678.00","","","177678","0","711410000, г.Астана, район Байқоңыр ул. Пушкина, 83Количество, объем: 100","711410000","15 календарных дней  с момента подписания договора","DDP, термин употребляется с указанием места прибытия. Он означает, что ответственность продавца заканчивается после того, как товар доставлен в указанное место в стране покупателя. Все риски, все расходы по доставке груза (налоги, пошлины","https://goszakup.gov.kz/ru/announce/index/10406033?tab=lots#",""
"10406159-1 Приобретение противогаза для отдела","ГУ ""Отдел экономики и финансов Панфиловского района""","Противогаз","11","132000.00","Из одного источника по несостоявшимся закупкам","Опубликован (прием заявок)","https://goszakup.gov.kz/ru/announce/index/10406159?tab=lots#","62275902-ОИ2","2023-07-24 15:27:07","2023-07-29 18:00:00","111240020412","Государственное учреждение ""Отдел экономики и финансов Панфиловского района""","329911.900.000015","Противогаз","изолирующий","Противогаз","За счет бюджетных средств, за исключением средств софинансирования по правительственным внешним займам или связанным грантам","12000","Штука","132 000.00","","","132000","0","334620100, область Жетісу, Панфиловский район, г.Жаркент Количество, объем: 11","334620100","июль","DDP, термин употребляется с указанием места прибытия. Он означает, что ответственность продавца заканчивается после того, как товар доставлен в указанное место в стране покупателя. Все риски, все расходы по доставке груза (налоги, пошлины","https://goszakup.gov.kz/ru/announce/index/10406159?tab=lots#",""
"10406112-1 Приобретение электротоваров (кабель-канал, распределительная коробка)","Коммунальное государственное учреждение ""Центр для ресоциализации лиц, оказавшихся в трудной жизненной ситуации"" акимата города Темиртау отдела занятости и социальных программ города Темиртау","Коробка распределительная","10","3400.00","Из одного источника по несостоявшимся закупкам","Опубликован (прием заявок)","https://goszakup.gov.kz/ru/announce/index/10406112?tab=lots#","61558044-ОИ2","2023-07-24 15:22:27","2023-07-29 18:00:00","001140002715","Коммунальное государственное учреждение ""Центр для ресоциализации лиц, оказавшихся в трудной жизненной ситуации"" акимата города Темиртау отдела занятости и социальных программ города Темиртау","222314.700.000001","Кабель-канал","мини","крышка+профиль,ПВХ,12*12 мм. длина 1000 мм. Монтаж: потолочный, настенный","За счет бюджетных средств, за исключением средств софинансирования по правительственным внешним займам или связанным грантам","195","Штука","3 900.00","","","3900","0","352410000, Карагандинская область, г.Темиртау КАЗАХСТАН, Карагандинская область, г.Темиртау, улица Парковая, строение 17Количество, объем: 20","352410000","в течение 30 календарных дней со дня заключения договора","DDP, термин употребляется с указанием места прибытия. Он означает, что ответственность продавца заканчивается после того, как товар доставлен в указанное место в стране покупателя. Все риски, все расходы по доставке груза (налоги, пошлины","https://goszakup.gov.kz/ru/announce/index/10406112?tab=lots#",""
"10406063-1 Услуги по техническому контролю (осмотру) дорожных транспортных средств(Шымкент)","Республиканское государственное казенное предприятие ""Производственное объединение ""Охотзоопром"" Комитета лесного хозяйства и животного мира Министерства экологии и природных ресурсов Республики Казахстан""","Услуги по техническому контролю (осмотру) дорожных транспортных средств (Шымкент)","2","101785.71","Запрос ценовых предложений","Опубликован","https://goszakup.gov.kz/ru/announce/index/10406063?tab=lots#","62316817","2023-07-24 15:38:34","2023-07-31 15:38:38","930340000221","Республиканское государственное казенное предприятие ""Производственное объединение ""Охотзоопром"" Комитета лесного хозяйства и животного мира Министерства экологии и природных ресурсов Республики Казахстан""","712014.000.000000","Услуги по техническому контролю (осмотру) дорожных транспортных средств","Услуги по техническому контролю (осмотру) дорожных транспортных средств","Шымкент грузовые","","26785.71","Одна услуга","26 785.71","","","26785.71","0","751910000, г.Алматы, Турксибский район ул. В.Бартольда, 157ВКоличество, объем: 1","751910000","В соответствии со сроками указанными в технической спецификации","","https://goszakup.gov.kz/ru/announce/index/10406063?tab=lots#",""
"10406015-1 Хозяйственные товары  (ОХО)","АО ""Академия Гражданской Авиации""","Мыло","100","350000.00","Запрос ценовых предложений","Опубликован","https://goszakup.gov.kz/ru/announce/index/10406015?tab=lots#","58098753-ЗЦП1","2023-07-24 15:30:00","2023-07-31 15:30:00","010840003460","Акционерное общество ""Академия гражданской авиации""","204131.500.000000","Мыло","хозяйственное, жидкое","пенка для мытья рук, канистр 5л  хоз.товары ОХО","","3500","Банка условная","350 000.00","","","350000","0","751910000, г.Алматы, Турксибский район г. Алматы, ул. Закарпатская , №44Количество, объем: 100","751910000","В течении 16 календарных дней с момента заключения договора","DDP, термин употребляется с указанием места прибытия. Он означает, что ответственность продавца заканчивается после того, как товар доставлен в указанное место в стране покупателя. Все риски, все расходы по доставке груза (налоги, пошлины","https://goszakup.gov.kz/ru/announce/index/10406015?tab=lots#",""
"10406158-1 Приобретение художественной литературы","ГКП на ПХВ ""Школа-гимназия № 52 имени Беимбета Майлина"" акимата города Астаны","Книга","1","2803.57","Из одного источника по несостоявшимся закупкам","Опубликован (прием заявок)","https://goszakup.gov.kz/ru/announce/index/10406158?tab=lots#","60942998-ОИ2","2023-07-24 15:27:08","2023-07-29 18:00:00","060540005366","Государственное коммунальное предприятие на праве хозяйственного ведения ""Школа-гимназия № 52 имени Беимбета Майлина"" акимата города Астаны","172312.700.000031","Книга","печатная продукция","Сезіміңді қалай білдіруге болады?/ Михаэль Энглер","За счет бюджетных средств, за исключением средств софинансирования по правительственным внешним займам или связанным грантам","1607.14","Штука","1 607.14","","","1607.14","0","711110000, г.Астана, район Алматы г Астана ул Бурабай38Количество, объем: 1","711110000","Со дня вступления в силу Договора в течение 15 календарных дней, по заявке заказчика","DDP, термин употребляется с указанием места прибытия. Он означает, что ответственность продавца заканчивается после того, как товар доставлен в указанное место в стране покупателя. Все риски, все расходы по доставке груза (налоги, пошлины","https://goszakup.gov.kz/ru/announce/index/10406158?tab=lots#",""
